,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
0,Maninder Singh,Raider,"Jan 1, 1990",Bengal Warriors,6 ft,India,76 kg,20.0,205.0,19.0,82.07,318.0,171.0,57.0,90.0,64.46,175.0,30.0,205.0,6.0,10.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1,K. Prapanjan,Raider,"May 29, 1993",Bengal Warriors,6 ft 1 in,India,83.6 kg,18.0,101.0,12.0,79.18,197.0,71.0,41.0,85.0,50.25,74.0,25.0,99.0,4.0,3.0,14.0,2.0,12.0,0.11,0.0,14.28,0.0,0.0
2,Mohammad Taghi,Raider,"Oct 21, 1991",Bengal Warriors,-,Iran,-,3.0,1.0,1.0,25.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.33,0.0,25.0,0.0,0.0
3,Rakesh Narwal,Raider,"May 6, 1995",Bengal Warriors,6 ft 1 in,India,82 kg,2.0,6.0,3.0,66.66,6.0,3.0,2.0,1.0,100.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ravindra Ramesh,Raider,"Apr 16, 1996",Bengal Warriors,-,India,-,3.0,2.0,2.0,55.55,9.0,1.0,4.0,4.0,11.11,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.33,0.0,50.0,0.0,0.0
5,Sukesh Hegde,Raider,"Oct 2, 1989",Bengal Warriors,5 ft 11 in,India,81.3 kg,13.0,41.0,8.0,82.95,88.0,27.0,15.0,46.0,45.45,28.0,12.0,40.0,2.0,0.0,4.0,1.0,3.0,0.07,0.0,25.0,0.0,0.0
6,Naveen Narwal,"Defender, right cover","Jan 1, 1970",Bengal Warriors,-,India,-,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.33,0.0,12.5,0.0,0.0
7,Amit,"Defender, right corner","Dec 12, 1998",Bengal Warriors,5 ft 5 in,India,74 kg,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Baldev Singh,"Defender, right corner","May 27, 1993",Bengal Warriors,5 ft 10 in,India,74 kg,20.0,59.0,7.0,80.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,54.0,51.0,2.7,0.0,56.19,5.0,6.0
9,Jeeva Kumar,"Defender, right and left cover","Jun 1, 1981",Bengal Warriors,5 ft 5 in,India,72 kg,19.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,31.0,55.0,1.63,0.0,37.2,1.0,0.0
10,Viraj Vishnu,"Defender, left cover","Oct 15, 1993",Bengal Warriors,5 ft 7 in,India,-,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,7.0,24.0,0.87,0.0,22.58,0.0,0.0
11,Adarsh T,"Defender, left corner","Jan 1, 1970",Bengal Warriors,-,India,-,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.33,0.0,33.33,0.0,0.0
12,Dharmendra Singh,"Defender, left corner","Feb 3, 1994",Bengal Warriors,5 ft 7 in,India,75 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rinku Narwal,Defender,"Jan 1, 1970",Bengal Warriors,-,India,-,20.0,53.0,5.0,100.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,51.0,62.0,2.55,0.0,46.9,2.0,3.0
14,Amir Santosh,All Rounder,"Dec 16, 1991",Bengal Warriors,5 ft 7 in,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Avinash A.,All Rounder,"May 18, 1991",Bengal Warriors,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Mohammad Esmaeil,All Rounder,"Sep 17, 1991",Bengal Warriors,-,Iran,-,20.0,100.0,10.0,81.34,193.0,60.0,36.0,97.0,38.86,67.0,8.0,75.0,3.0,1.0,54.0,23.0,31.0,1.15,0.0,46.29,2.0,1.0
17,Mayur Shivtarkar,All Rounder,"Sep 13, 1996",Bengal Warriors,5 ft 8 in,India,79 kg,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,19.0,0.85,0.0,24.0,0.0,0.0
18,Sourabh Tanaji,All Rounder,"Jul 9, 1997",Bengal Warriors,-,India,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Sunil Manik,All Rounder,"Apr 27, 1996",Bengal Warriors,-,India,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
20,Rohit Kumar,Raider,"Jan 19, 1990",Bengaluru Bulls,6 ft,India,79 kg,17.0,92.0,14.0,70.86,230.0,69.0,67.0,94.0,38.26,70.0,18.0,88.0,2.0,3.0,17.0,4.0,13.0,0.23,0.0,23.52,0.0,0.0
21,Banty,Raider,"Nov 10, 2000",Bengaluru Bulls,5 ft 9 in,India,69.3 kg,11.0,21.0,6.0,71.11,45.0,13.0,13.0,19.0,40.0,15.0,3.0,18.0,0.0,0.0,8.0,3.0,5.0,0.27,0.0,37.5,0.0,0.0
22,Lal Mohar,Raider,"Feb 1, 1991",Bengaluru Bulls,-,Nepal,79 kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Pawan Kumar,Raider,"Jul 9, 1996",Bengaluru Bulls,5 ft 10 in,India,-,19.0,256.0,29.0,74.05,343.0,187.0,89.0,67.0,70.55,190.0,52.0,242.0,6.0,13.0,29.0,13.0,16.0,0.68,0.0,48.27,1.0,0.0
24,Sumit Singh,Raider,"Jun 15, 1996",Bengaluru Bulls,-,India,-,15.0,39.0,7.0,69.56,92.0,27.0,28.0,37.0,39.13,14.0,22.0,36.0,0.0,0.0,11.0,2.0,9.0,0.13,0.0,27.27,1.0,0.0
25,Vinod Kumar,Raider,"Jan 2, 1989",Bengaluru Bulls,5 ft 7 in,India,80 kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
26,Mohit Sehrawat,"Defender, right cover","Aug 21, 1998",Bengaluru Bulls,5 ft 11 in,India,76.5 kg,13.0,17.0,5.0,75.55,45.0,4.0,11.0,30.0,11.11,4.0,1.0,5.0,0.0,0.0,31.0,10.0,21.0,0.76,0.0,38.7,2.0,1.0
27,Raju Lal,"Defender, right corner","Feb 12, 1988",Bengaluru Bulls,6 ft 1 in,India,80.5 kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Vijay Kumar,"Defender, right corner","Mar 1, 1994",Bengaluru Bulls,6 ft 2 in,India,-,9.0,5.0,3.0,100.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,12.0,0.44,0.0,31.25,1.0,0.0
29,Mahender Singh,"Defender, left cover","Jan 10, 1996",Bengaluru Bulls,5 ft 7 in,India,78 kg,16.0,46.0,7.0,100.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,51.0,2.43,0.0,51.11,7.0,3.0
