,Team,Games,TOTAL POINTS SCORED,TOTAL POINTS CONCEDED,AVG POINTS SCORED,SUCCESSFUL RAIDS,RAID POINTS,AVG RAID POINTS,SUCCESSFUL TACKLES,TACKLE POINTS,AVG TACKLE POINTS,SUPER RAID,SUPER TACKLES,DO-OR-DIE RAID POINTS,ALL-OUTS INFLICTED,ALL-OUTS CONCEDED
0,Dabang Delhi K.C.,20,742,659,31.2,361,437,21.85,181,187,9.35,8,8,50,34,18
1,Bengal Warriors,20,718,623,30.9,340,426,21.3,182,192,9.6,15,12,53,34,17
2,Bengaluru Bulls,19,656,644,30.73,309,393,20.68,168,191,10.05,8,25,42,21,24
3,Puneri Paltan,20,652,723,29.5,290,358,17.9,207,232,11.6,6,25,60,18,33
4,Haryana Steelers,19,650,626,30.1,290,377,19.84,181,195,10.26,14,14,71,27,21
5,Patna Pirates,19,640,641,29.42,291,368,19.37,168,191,10.05,13,23,69,28,23
6,Jaipur Pink Panthers,20,626,644,27.8,261,337,16.85,189,219,10.95,7,32,73,19,23
7,Gujarat Fortunegiants,20,605,591,26.15,265,320,16,187,203,10.15,5,17,59,21,22
8,U Mumba,19,598,561,26.73,258,325,17.11,168,183,9.63,7,18,66,26,21
9,Tamil Thalaivas,20,578,695,25.75,275,344,17.2,160,171,8.55,4,13,55,14,30
10,Telugu Titans,18,564,603,28.55,273,332,18.44,162,182,10.11,9,21,44,13,22
11,U.P. Yoddha,18,551,570,26.72,223,289,16.06,177,192,10.67,5,16,71,21,22
