,date,HomeTeam,AwayTeam
0,03.10. 00:00,U Mumba,Patna Pirates
1,03.10. 01:00,Haryana Steelers,Bengaluru Bulls
2,04.10. 00:00,Telugu Titans,Puneri Paltan
3,05.10. 00:00,Jaipur Pink Panthers,Bengaluru Bulls
4,05.10. 01:00,Haryana Steelers,Telugu Titans
5,06.10. 00:00,UP Yoddha,Dabang Delhi
6,06.10. 01:00,Gujarat FortuneGiants,Patna Pirates
7,07.10. 00:00,Bengal Warriors,Patna Pirates
8,07.10. 01:00,UP Yoddha,Puneri Paltan
9,08.10. 00:00,Telugu Titans,Gujarat FortuneGiants
10,08.10. 01:00,Tamil Thalaivas,Jaipur Pink Panthers
11,10.10. 00:00,Bengal Warriors,Tamil Thalaivas
12,10.10. 01:00,UP Yoddha,Telugu Titans
13,11.10. 00:00,U Mumba,Haryana Steelers
14,12.10. 00:00,Dabang Delhi,U Mumba
15,12.10. 01:00,UP Yoddha,Bengaluru Bulls
